Month,1-4 years,10-14 years,100+ years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years ,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,< 1 year,Not Stated
2010-01-01,0.0,0.0,0.0,85.0,225.0,349.0,340.0,391.0,434.0,561.0,0.0,492.0,308.0,180.0,57.0,36.0,24.0,10.0,15.0,10.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,68.0,220.0,296.0,325.0,375.0,398.0,504.0,0.0,474.0,311.0,166.0,55.0,33.0,20.0,17.0,15.5,10.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,76.0,248.0,333.0,341.0,370.0,443.0,591.0,0.0,508.0,346.0,175.0,64.0,30.0,27.0,20.0,16.0,10.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,69.0,219.0,332.0,308.0,331.0,391.0,549.0,0.0,513.0,331.0,160.0,59.0,28.0,22.0,13.0,13.0,10.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,77.0,250.0,347.0,343.0,349.0,419.0,545.0,0.0,500.0,305.0,159.0,67.0,28.0,29.0,17.0,20.0,10.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,71.0,219.0,294.0,314.0,350.0,378.0,528.0,0.0,466.0,323.0,141.0,67.0,32.0,17.0,15.0,18.5,10.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,83.0,232.0,298.0,306.0,350.0,427.0,522.0,0.0,460.0,362.0,173.0,56.0,35.0,19.0,17.0,17.0,10.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,63.0,231.0,334.0,330.0,363.0,404.0,476.0,0.0,461.0,307.0,193.0,64.0,35.0,17.0,14.0,13.0,10.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,86.0,252.0,324.0,302.0,319.0,367.0,488.0,0.0,453.0,306.0,150.0,65.0,25.0,19.0,23.0,11.5,10.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,64.0,245.0,315.0,385.0,318.0,393.0,496.0,0.0,489.0,321.0,149.0,69.0,31.0,31.0,10.0,10.0,10.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,68.0,225.0,330.0,324.0,337.0,384.0,497.0,0.0,462.0,338.0,169.0,67.0,36.0,20.0,20.0,21.0,10.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,56.0,241.0,348.0,342.0,348.0,421.0,500.0,0.0,512.0,378.0,165.0,67.0,31.0,23.0,22.0,16.0,10.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,67.0,232.0,348.0,409.0,413.0,460.0,570.0,0.0,504.0,352.0,190.0,67.0,40.0,25.0,18.0,21.0,10.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,70.0,247.0,364.0,380.0,359.0,477.0,575.0,0.0,525.0,347.0,137.0,81.0,32.0,21.0,16.0,14.0,10.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,82.0,272.0,358.0,364.0,389.0,434.0,602.0,0.0,549.0,370.0,202.0,84.0,30.0,18.0,21.0,14.0,10.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,72.0,268.0,349.0,405.0,348.0,431.0,512.0,0.0,553.0,364.0,176.0,89.0,31.0,23.0,20.0,13.5,10.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,63.0,260.0,339.0,400.0,391.0,471.0,518.0,0.0,541.0,392.0,178.0,70.0,34.0,22.0,17.0,13.0,10.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,68.0,231.0,355.0,358.0,335.0,372.0,501.0,0.0,479.0,352.0,177.0,61.0,37.0,17.0,14.0,13.0,10.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,82.0,254.0,385.0,362.0,377.0,432.0,570.0,0.0,516.0,377.0,190.0,74.0,37.0,18.0,22.0,10.0,10.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,66.0,266.0,350.0,367.0,343.0,429.0,479.0,0.0,523.0,387.0,180.0,87.0,37.0,21.0,24.0,13.0,10.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,73.0,260.0,298.0,333.0,336.0,430.0,534.0,0.0,516.0,345.0,181.0,62.0,36.0,18.0,28.0,16.0,10.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,61.0,238.0,320.0,371.0,377.0,446.0,508.0,0.0,541.0,361.0,168.0,83.0,40.0,27.0,13.0,12.0,10.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,82.0,274.0,333.0,404.0,349.0,453.0,507.0,0.0,498.0,332.0,186.0,75.0,33.0,14.0,25.0,13.0,10.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,74.0,230.0,381.0,396.0,326.0,434.0,545.0,0.0,543.0,369.0,200.0,70.0,34.0,19.0,15.0,11.0,10.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,70.0,263.0,324.0,418.0,370.0,411.0,560.0,0.0,572.0,393.0,190.0,96.0,41.0,26.0,16.0,20.0,10.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,60.0,267.0,327.0,403.0,359.0,455.0,557.0,0.0,493.0,376.0,176.0,73.0,42.0,25.0,15.0,11.0,10.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,64.0,223.0,356.0,443.0,405.0,440.0,524.0,0.0,557.0,381.0,177.0,86.0,40.0,19.0,15.0,16.0,10.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,43.0,242.0,317.0,355.0,334.0,432.0,512.0,0.0,517.0,352.0,200.0,79.0,46.0,24.0,10.0,18.5,10.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,46.0,230.0,355.0,400.0,349.0,390.0,523.0,0.0,531.0,397.0,194.0,68.0,41.0,30.0,12.0,21.0,10.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,63.0,238.0,352.0,400.0,349.0,432.0,524.0,0.0,556.0,386.0,210.0,97.0,33.0,20.0,17.0,18.333333333333332,10.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,71.0,232.0,356.0,401.0,375.0,455.0,479.0,0.0,547.0,389.0,206.0,93.0,29.0,18.0,23.0,15.666666666666668,10.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,61.0,255.0,342.0,390.0,382.0,450.0,541.0,0.0,543.0,385.0,184.0,94.0,44.0,22.0,17.0,13.0,10.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,65.0,249.0,363.0,391.0,318.0,372.0,533.0,0.0,491.0,387.0,183.0,91.0,33.0,20.0,20.0,13.333333333333334,10.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,67.0,258.0,347.0,374.0,397.0,397.0,485.0,0.0,477.0,402.0,184.0,94.0,37.0,25.0,20.0,13.666666666666666,10.5,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,50.0,218.0,335.0,342.0,360.0,370.0,505.0,0.0,526.0,386.0,191.0,85.0,33.0,17.0,19.0,14.0,11.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,42.0,252.0,361.0,372.0,384.0,416.0,535.0,0.0,556.0,412.0,200.0,100.0,27.0,21.0,15.0,19.0,10.833333333333334,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,60.0,276.0,372.0,405.0,370.0,470.0,540.0,0.0,557.0,506.0,239.0,112.0,54.0,26.0,26.0,17.0,10.666666666666666,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,69.0,248.0,365.0,386.0,336.0,416.0,511.0,0.0,586.0,445.0,189.0,90.0,31.0,27.0,13.0,19.0,10.5,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,78.0,277.0,374.0,446.0,396.0,444.0,539.0,0.0,662.0,478.0,206.0,89.0,43.0,28.0,16.0,13.0,10.333333333333334,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,44.0,254.0,354.0,417.0,365.0,460.0,519.0,0.0,562.0,423.0,239.0,97.0,39.0,18.0,17.0,13.0,10.166666666666666,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,52.0,282.0,380.0,374.0,376.0,455.0,528.0,0.0,574.0,407.0,230.0,94.0,46.0,19.0,14.0,23.0,10.0,0.0,0.0,0.0
